,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
30,2016-01-20,19:45 ,FA Cup,Third round,Wed,Away,W,2,0,Leicester City,,"30,006",,,Anthony Taylor,Match Report,,2015-2016,2015-2016,2015-2016,,
31,2016-01-23,15:00 ,Premier League,Matchweek 23,Sat,Away,W,3,1,Crystal Palace,64,"28,467",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,2015-2016,2015-2016,2015-2016,,
32,2016-01-30,12:45 ,FA Cup,Fourth round,Sat,Away,W,4,1,Colchester Utd,,"9,920",,,Michael Oliver,Match Report,,2015-2016,2015-2016,2015-2016,,
33,2016-02-02,19:45 ,Premier League,Matchweek 24,Tue,Away,W,3,0,Norwich City,54,"27,067",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,2015-2016,2015-2016,2015-2016,,
34,2016-02-06,15:00 ,Premier League,Matchweek 25,Sat,Home,W,1,0,Watford,66,"35,997",Hugo Lloris,4-2-3-1,Roger East,Match Report,,2015-2016,2015-2016,2015-2016,,
35,2016-02-14,16:15 ,Premier League,Matchweek 26,Sun,Away,W,2,1,Manchester City,54,"54,551",Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,,2015-2016,2015-2016,2015-2016,,
36,2016-02-18,19:00 ,Europa Lg,Round of 32,Thu,Away,D,1,1,it Fiorentina,50,"15,200",Ryan Mason,4-2-3-1,Felix Zwayer,Match Report,Leg 1 of 2,2015-2016,2015-2016,2015-2016,,
37,2016-02-21,15:00 ,FA Cup,Fifth round,Sun,Home,L,0,1,Crystal Palace,,"35,547",,,Craig Pawson,Match Report,,2015-2016,2015-2016,2015-2016,,
38,2016-02-25,20:05 ,Europa Lg,Round of 32,Thu,Home,W,3,0,it Fiorentina,47,"34,880",Hugo Lloris,4-2-3-1,Ovidiu Hațegan,Match Report,Leg 2 of 2; Tottenham won,2015-2016,2015-2016,2015-2016,,
39,2016-02-28,14:05 ,Premier League,Matchweek 27,Sun,Home,W,2,1,Swansea City,57,"35,922",Hugo Lloris,4-2-3-1,Mike Jones,Match Report,,2015-2016,2015-2016,2015-2016,,
40,2016-03-02,19:45 ,Premier League,Matchweek 28,Wed,Away,L,0,1,West Ham,65,"34,977",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,2015-2016,2015-2016,2015-2016,,
41,2016-03-05,12:45 ,Premier League,Matchweek 29,Sat,Home,D,2,2,Arsenal,52,"35,762",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,2015-2016,2015-2016,2015-2016,,
42,2016-03-10,19:00 ,Europa Lg,Round of 16,Thu,Away,L,0,3,de Dortmund,34,"65,848",Hugo Lloris,4-2-3-1,Cüneyt Çakιr,Match Report,Leg 1 of 2,2015-2016,2015-2016,2015-2016,,
43,2016-03-13,16:00 ,Premier League,Matchweek 30,Sun,Away,W,2,0,Aston Villa,63,"32,393",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2015-2016,2015-2016,2015-2016,,
44,2016-03-17,20:05 ,Europa Lg,Round of 16,Thu,Home,L,1,2,de Dortmund,59,"34,593",Hugo Lloris,4-2-3-1,Nicola Rizzoli,Match Report,Leg 2 of 2; Dortmund won,2015-2016,2015-2016,2015-2016,,
45,2016-03-20,16:00 ,Premier League,Matchweek 31,Sun,Home,W,3,0,Bournemouth,63,"36,084",Hugo Lloris,4-2-3-1,Niel Swarbrick,Match Report,,2015-2016,2015-2016,2015-2016,,
46,2016-04-02,17:30 ,Premier League,Matchweek 32,Sat,Away,D,1,1,Liverpool,58,"44,062",Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,2015-2016,2015-2016,2015-2016,,
47,2016-04-10,16:00 ,Premier League,Matchweek 33,Sun,Home,W,3,0,Manchester Utd,47,"35,761",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,2015-2016,2015-2016,2015-2016,,
48,2016-04-18,20:00 ,Premier League,Matchweek 34,Mon,Away,W,4,0,Stoke City,49,"27,442",Hugo Lloris,4-2-3-1,Niel Swarbrick,Match Report,,2015-2016,2015-2016,2015-2016,,
49,2016-04-25,20:00 ,Premier League,Matchweek 35,Mon,Home,D,1,1,West Brom,67,"35,923",Hugo Lloris,4-2-3-1,Mike Jones,Match Report,,2015-2016,2015-2016,2015-2016,,
50,2016-05-02,20:00 ,Premier League,Matchweek 36,Mon,Away,D,2,2,Chelsea,53,"41,545",Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,,2015-2016,2015-2016,2015-2016,,
51,2016-05-08,13:30 ,Premier League,Matchweek 37,Sun,Home,L,1,2,Southampton,70,"35,748",Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,2015-2016,2015-2016,2015-2016,,
52,2016-05-15,15:00 ,Premier League,Matchweek 38,Sun,Away,L,1,5,Newcastle Utd,62,"52,183",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2015-2016,2015-2016,2015-2016,,
53,2016-08-13,15:00 ,Premier League,Matchweek 1,Sat,Away,D,1,1,Everton,58,"39,494",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,2016-2017,2016-2017,2016-2017,,
54,2016-08-20,15:00 ,Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,57,"31,447",Harry Kane,4-2-3-1,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
55,2016-08-27,12:30 ,Premier League,Matchweek 3,Sat,Home,D,1,1,Liverpool,49,"31,211",Harry Kane,4-2-3-1,Robert Madley,Match Report,,2016-2017,2016-2017,2016-2017,,
56,2016-09-10,15:00 ,Premier League,Matchweek 4,Sat,Away,W,4,0,Stoke City,60,"27,385",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2016-2017,2016-2017,2016-2017,,
57,2016-09-14,19:45 ,Champions Lg,Group stage,Wed,Home,L,1,2,fr Monaco,64,"85,011",Hugo Lloris,4-2-3-1,Gianluca Rocchi,Match Report,,2016-2017,2016-2017,2016-2017,,
58,2016-09-18,16:30 ,Premier League,Matchweek 5,Sun,Home,W,1,0,Sunderland,74,"31,251",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,2016-2017,2016-2017,2016-2017,,
59,2016-09-21,20:00 ,EFL Cup,Third round,Wed,Home,W,5,0,Gillingham,68,"26,244",Christian Eriksen,4-2-3-1,David Coote,Match Report,,2016-2017,2016-2017,2016-2017,,
60,2016-09-24,15:00 ,Premier League,Matchweek 6,Sat,Away,W,2,1,Middlesbrough,58,"32,703",Hugo Lloris,4-3-3,Graham Scott,Match Report,,2016-2017,2016-2017,2016-2017,,
61,2016-09-27,21:45 ,Champions Lg,Group stage,Tue,Away,W,1,0,ru CSKA Moscow,66,"26,153",Hugo Lloris,4-1-4-1,Antonio Matéu Lahoz,Match Report,,2016-2017,2016-2017,2016-2017,,
62,2016-10-02,14:15 ,Premier League,Matchweek 7,Sun,Home,W,2,0,Manchester City,42,"31,793",Hugo Lloris,4-1-4-1,Andre Marriner,Match Report,,2016-2017,2016-2017,2016-2017,,
63,2016-10-15,15:00 ,Premier League,Matchweek 8,Sat,Away,D,1,1,West Brom,72,"24,263",Hugo Lloris,4-1-4-1,Kevin Friend,Match Report,,2016-2017,2016-2017,2016-2017,,
64,2016-10-18,20:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,de Leverkusen,57,"28,887",Hugo Lloris,4-1-4-1,Cüneyt Çakιr,Match Report,,2016-2017,2016-2017,2016-2017,,
65,2016-10-22,12:30 ,Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,62,"11,201",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,2016-2017,2016-2017,2016-2017,,
66,2016-10-25,19:45 ,EFL Cup,Fourth round,Tue,Away,L,1,2,Liverpool,54,"53,051",Eric Dier,4-2-3-1,Jonathan Moss,Match Report,,2016-2017,2016-2017,2016-2017,,
67,2016-10-29,15:00 ,Premier League,Matchweek 10,Sat,Home,D,1,1,Leicester City,64,"31,868",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,2016-2017,2016-2017,2016-2017,,
