,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
38,2006-08-10,,UEFA Cup,Second qualifying round,Thu,Away,W,1,0,lv FK Ventspils,,,,,Stéphane Lannoy,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007
39,2006-08-19,,Premier League,Matchweek 1,Sat,Home,W,2,1,Wigan Athletic,,"52,227",,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007
40,2006-08-24,,UEFA Cup,Second qualifying round,Thu,Home,D,0,0,lv FK Ventspils,,,,,Thomas Einwaller,Match Report,Leg 2 of 2; Newcastle Utd won,2006-2007,2006-2007,2006-2007
41,2006-08-27,,Premier League,Matchweek 3,Sun,Away,L,0,2,Aston Villa,,"35,141",,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007
42,2006-09-09,,Premier League,Matchweek 4,Sat,Home,L,1,2,Fulham,,"51,398",,,Chris Foy,Match Report,,2006-2007,2006-2007,2006-2007
43,2006-09-14,,UEFA Cup,First round,Thu,Away,W,1,0,ee Levadia Tallinn,,,,,Martin Ingvarsson,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007
44,2006-09-17,,Premier League,Matchweek 5,Sun,Away,W,2,0,West Ham,,"34,623",,,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007
45,2006-09-20,,Premier League,Matchweek 2,Wed,Away,L,0,2,Liverpool,,"45,114",,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007
46,2006-09-24,,Premier League,Matchweek 6,Sun,Home,D,1,1,Everton,,"50,414",,,Stephen Bennett,Match Report,,2006-2007,2006-2007,2006-2007
47,2006-09-28,,UEFA Cup,First round,Thu,Home,W,2,1,ee Levadia Tallinn,,,,,Kristinn Jakobsson,Match Report,Leg 2 of 2; Newcastle Utd won,2006-2007,2006-2007,2006-2007
48,2006-10-01,,Premier League,Matchweek 7,Sun,Away,L,0,2,Manchester Utd,,"75,664",,,Mike Dean,Match Report,,2006-2007,2006-2007,2006-2007
49,2006-10-15,,Premier League,Matchweek 8,Sun,Home,L,1,2,Bolton,,"48,747",,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007
50,2006-10-19,,UEFA Cup,Group stage,Thu,Home,W,1,0,tr Fenerbahçe,,,,,Grzegorz Gilewski,Match Report,,2006-2007,2006-2007,2006-2007
51,2006-10-22,,Premier League,Matchweek 9,Sun,Away,L,0,1,Middlesbrough,,"30,036",,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007
52,2006-10-28,,Premier League,Matchweek 10,Sat,Home,D,0,0,Charlton Ath,,"49,642",,,Mike Dean,Match Report,,2006-2007,2006-2007,2006-2007
53,2006-11-02,,UEFA Cup,Group stage,Thu,Away,W,1,0,it Palermo,,,,,Jaroslav Jara,Match Report,,2006-2007,2006-2007,2006-2007
54,2006-11-04,,Premier League,Matchweek 11,Sat,Home,L,0,1,Sheffield Utd,,"50,189",,,Stephen Bennett,Match Report,,2006-2007,2006-2007,2006-2007
55,2006-11-11,,Premier League,Matchweek 12,Sat,Away,D,0,0,Manchester City,,"40,571",,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007
56,2006-11-18,,Premier League,Matchweek 13,Sat,Away,D,1,1,Arsenal,,"60,058",,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007
57,2006-11-23,,UEFA Cup,Group stage,Thu,Home,W,2,1,es Celta Vigo,,,,,Dick van Egmond,Match Report,,2006-2007,2006-2007,2006-2007
58,2006-11-26,,Premier League,Matchweek 14,Sun,Home,W,1,0,Portsmouth,,"48,834",,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007
59,2006-11-30,,UEFA Cup,Group stage,Thu,Away,D,0,0,de Eint Frankfurt,,,,,Pedro Proença,Match Report,,2006-2007,2006-2007,2006-2007
60,2006-12-06,,Premier League,Matchweek 15,Wed,Home,W,3,2,Reading,,"48,363",,,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007
61,2006-12-09,,Premier League,Matchweek 17,Sat,Away,W,3,1,Blackburn,,"19,225",,,Dermot Gallagher,Match Report,,2006-2007,2006-2007,2006-2007
62,2006-12-13,,Premier League,Matchweek 16,Wed,Away,L,0,1,Chelsea,,"41,944",,,Phil Dowd,Match Report,,2006-2007,2006-2007,2006-2007
63,2006-12-16,,Premier League,Matchweek 18,Sat,Home,W,2,1,Watford,,"49,640",,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007
64,2006-12-23,,Premier League,Matchweek 19,Sat,Home,W,3,1,Tottenham,,"52,093",,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007
65,2006-12-26,,Premier League,Matchweek 20,Tue,Away,L,1,2,Bolton,,"26,255",,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007
66,2006-12-30,,Premier League,Matchweek 21,Sat,Away,L,0,3,Everton,,"38,682",,,Dermot Gallagher,Match Report,,2006-2007,2006-2007,2006-2007
67,2007-01-01,,Premier League,Matchweek 22,Mon,Home,D,2,2,Manchester Utd,,"52,302",,,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007
68,2007-01-14,,Premier League,Matchweek 23,Sun,Away,W,3,2,Tottenham,,"35,942",,,Stephen Bennett,Match Report,,2006-2007,2006-2007,2006-2007
69,2007-01-20,,Premier League,Matchweek 24,Sat,Home,D,2,2,West Ham,,"52,096",,,Uriah Rennie,Match Report,,2006-2007,2006-2007,2006-2007
70,2007-01-31,,Premier League,Matchweek 25,Wed,Home,W,3,1,Aston Villa,,"49,438",,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007
71,2007-02-03,,Premier League,Matchweek 26,Sat,Away,L,1,2,Fulham,,"24,340",,,Phil Dowd,Match Report,,2006-2007,2006-2007,2006-2007
72,2007-02-10,,Premier League,Matchweek 27,Sat,Home,W,2,1,Liverpool,,"52,305",,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007
73,2007-02-15,,UEFA Cup,Round of 32,Thu,Away,W,3,1,be Zulte Waregem,,,,,Anton Genov,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007
74,2007-02-22,,UEFA Cup,Round of 32,Thu,Home,W,1,0,be Zulte Waregem,,,,,Nikolay Ivanov,Match Report,Leg 2 of 2; Newcastle Utd won,2006-2007,2006-2007,2006-2007
75,2007-02-25,,Premier League,Matchweek 28,Sun,Away,L,0,1,Wigan Athletic,,"22,019",,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007
76,2007-03-03,,Premier League,Matchweek 29,Sat,Home,D,0,0,Middlesbrough,,"52,303",,,Stephen Bennett,Match Report,,2006-2007,2006-2007,2006-2007
77,2007-03-08,,UEFA Cup,Round of 16,Thu,Home,W,4,2,nl AZ Alkmaar,,,,,Massimo Busacca,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007
