,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
39,2006-04-08,,La Liga,Matchweek 32,Sat,Home,D,1,1,Real Sociedad,,,,,Fernández Borbalán,Match Report,,2005-2006,2005-2006,2005-2006
40,2006-04-16,,La Liga,Matchweek 33,Sun,Away,D,1,1,Getafe,,,,,Puentes Leira,Match Report,,2005-2006,2005-2006,2005-2006
41,2006-04-23,,La Liga,Matchweek 34,Sun,Home,W,2,1,Málaga,,,,,Iturralde González,Match Report,,2005-2006,2005-2006,2005-2006
42,2006-04-30,,La Liga,Matchweek 35,Sun,Away,W,1,0,Osasuna,,,,,Daudén Ibáñez,Match Report,,2005-2006,2005-2006,2005-2006
43,2006-05-04,,La Liga,Matchweek 36,Thu,Away,W,3,2,Racing Sant,,,,,Turienzo Álvarez,Match Report,,2005-2006,2005-2006,2005-2006
44,2006-05-07,,La Liga,Matchweek 37,Sun,Home,D,3,3,Villarreal,,,,,Teixeira Vitienes,Match Report,,2005-2006,2005-2006,2005-2006
45,2006-05-16,,La Liga,Matchweek 38,Tue,Away,L,3,4,Sevilla,,,,,Pérez Burrull,Match Report,,2005-2006,2005-2006,2005-2006
46,2006-08-27,,La Liga,Matchweek 1,Sun,Home,D,0,0,Villarreal,,,,,Fernández Borbalán,Match Report,,2006-2007,2006-2007,2006-2007
47,2006-09-10,,La Liga,Matchweek 2,Sun,Away,W,4,1,Levante,,,,,Daudén Ibáñez,Match Report,,2006-2007,2006-2007,2006-2007
48,2006-09-13,,Champions Lg,Group stage,Wed,Away,L,0,2,fr Lyon,,,,,Wolfgang Stark,Match Report,,2006-2007,2006-2007,2006-2007
49,2006-09-17,,La Liga,Matchweek 3,Sun,Home,W,2,0,Real Sociedad,,,,,Muñiz Fernández,Match Report,,2006-2007,2006-2007,2006-2007
50,2006-09-23,,La Liga,Matchweek 4,Sat,Away,W,1,0,Betis,,,,,Iturralde González,Match Report,,2006-2007,2006-2007,2006-2007
51,2006-09-26,,Champions Lg,Group stage,Tue,Home,W,5,1,ua Dynamo Kyiv,,,,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007
52,2006-10-01,,La Liga,Matchweek 5,Sun,Home,D,1,1,Atlético Madrid,,,,,Undiano Mallenco,Match Report,,2006-2007,2006-2007,2006-2007
53,2006-10-14,,La Liga,Matchweek 6,Sat,Away,L,0,1,Getafe,,,,,González Vázquez,Match Report,,2006-2007,2006-2007,2006-2007
54,2006-10-17,,Champions Lg,Group stage,Tue,Away,W,4,1,ro Steaua,,,,,Roberto Rosetti,Match Report,,2006-2007,2006-2007,2006-2007
55,2006-10-22,,La Liga,Matchweek 7,Sun,Home,W,2,0,Barcelona,,,,,Pérez Burrull,Match Report,,2006-2007,2006-2007,2006-2007
56,2006-10-28,,La Liga,Matchweek 8,Sat,Away,W,3,1,Gimnàstic,,,,,Mejuto González,Match Report,,2006-2007,2006-2007,2006-2007
57,2006-11-01,,Champions Lg,Group stage,Wed,Home,W,1,0,ro Steaua,,,,,Konrad Plautz,Match Report,,2006-2007,2006-2007,2006-2007
58,2006-11-05,,La Liga,Matchweek 9,Sun,Home,L,1,2,Celta Vigo,,,,,Pérez Lasa,Match Report,,2006-2007,2006-2007,2006-2007
59,2006-11-12,,La Liga,Matchweek 10,Sun,Away,W,4,1,Osasuna,,,,,Teixeira Vitienes,Match Report,,2006-2007,2006-2007,2006-2007
60,2006-11-18,,La Liga,Matchweek 11,Sat,Home,W,3,1,Racing Sant,,,,,Lizondo Cortés,Match Report,,2006-2007,2006-2007,2006-2007
61,2006-11-21,,Champions Lg,Group stage,Tue,Home,D,2,2,fr Lyon,,,,,Terje Hauge,Match Report,,2006-2007,2006-2007,2006-2007
62,2006-11-26,,La Liga,Matchweek 12,Sun,Away,W,1,0,Valencia,,,,,Medina Cantalejo,Match Report,,2006-2007,2006-2007,2006-2007
63,2006-12-03,,La Liga,Matchweek 13,Sun,Home,W,2,1,Athletic Club,,,,,Rodríguez Santiago,Match Report,,2006-2007,2006-2007,2006-2007
64,2006-12-06,,Champions Lg,Group stage,Wed,Away,D,2,2,ua Dynamo Kyiv,,,,,Mike Riley,Match Report,,2006-2007,2006-2007,2006-2007
65,2006-12-09,,La Liga,Matchweek 14,Sat,Away,L,1,2,Sevilla,,,,,Muñiz Fernández,Match Report,,2006-2007,2006-2007,2006-2007
66,2006-12-17,,La Liga,Matchweek 15,Sun,Away,W,1,0,Espanyol,,,,,Pérez Lasa,Match Report,,2006-2007,2006-2007,2006-2007
67,2006-12-20,,La Liga,Matchweek 16,Wed,Home,L,0,3,Recreativo,,,,,Daudén Ibáñez,Match Report,,2006-2007,2006-2007,2006-2007
68,2007-01-07,,La Liga,Matchweek 17,Sun,Away,L,0,2,La Coruña,,,,,Ramírez Domínguez,Match Report,,2006-2007,2006-2007,2006-2007
69,2007-01-14,,La Liga,Matchweek 18,Sun,Home,W,1,0,Zaragoza,,,,,Ayza Gámez,Match Report,,2006-2007,2006-2007,2006-2007
70,2007-01-21,,La Liga,Matchweek 19,Sun,Away,W,1,0,Mallorca,,,,,Fernández Borbalán,Match Report,,2006-2007,2006-2007,2006-2007
71,2007-01-27,,La Liga,Matchweek 20,Sat,Away,L,0,1,Villarreal,,,,,Clos Gómez,Match Report,,2006-2007,2006-2007,2006-2007
72,2007-02-04,,La Liga,Matchweek 21,Sun,Home,L,0,1,Levante,,,,,Álvarez Izquierdo,Match Report,,2006-2007,2006-2007,2006-2007
73,2007-02-10,,La Liga,Matchweek 22,Sat,Away,W,2,1,Real Sociedad,,,,,Rodríguez Santiago,Match Report,,2006-2007,2006-2007,2006-2007
74,2007-02-17,,La Liga,Matchweek 23,Sat,Home,D,0,0,Betis,,,,,Muñiz Fernández,Match Report,,2006-2007,2006-2007,2006-2007
75,2007-02-20,,Champions Lg,Round of 16,Tue,Home,W,3,2,de Bayern Munich,,,,,Frank de Bleeckere,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007
76,2007-02-24,,La Liga,Matchweek 24,Sat,Away,D,1,1,Atlético Madrid,,,,,Daudén Ibáñez,Match Report,,2006-2007,2006-2007,2006-2007
77,2007-03-04,,La Liga,Matchweek 25,Sun,Home,D,1,1,Getafe,,,,,Teixeira Vitienes,Match Report,,2006-2007,2006-2007,2006-2007
78,2007-03-07,,Champions Lg,Round of 16,Wed,Away,L,1,2,de Bayern Munich,,,,,Ľuboš Michel,Match Report,Leg 2 of 2; Bayern Munich won,2006-2007,2006-2007,2006-2007
79,2007-03-10,,La Liga,Matchweek 26,Sat,Away,D,3,3,Barcelona,,,,,Undiano Mallenco,Match Report,,2006-2007,2006-2007,2006-2007
80,2007-03-18,,La Liga,Matchweek 27,Sun,Home,W,2,0,Gimnàstic,,,,,Iturralde González,Match Report,,2006-2007,2006-2007,2006-2007
81,2007-04-01,,La Liga,Matchweek 28,Sun,Away,W,2,1,Celta Vigo,,,,,Pérez Burrull,Match Report,,2006-2007,2006-2007,2006-2007
82,2007-04-08,,La Liga,Matchweek 29,Sun,Home,W,2,0,Osasuna,,,,,Ramírez Domínguez,Match Report,,2006-2007,2006-2007,2006-2007
83,2007-04-14,,La Liga,Matchweek 30,Sat,Away,L,1,2,Racing Sant,,,,,Turienzo Álvarez,Match Report,,2006-2007,2006-2007,2006-2007
84,2007-04-21,,La Liga,Matchweek 31,Sat,Home,W,2,1,Valencia,,,,,Pérez Lasa,Match Report,,2006-2007,2006-2007,2006-2007
85,2007-04-29,,La Liga,Matchweek 32,Sun,Away,W,4,1,Athletic Club,,,,,Muñiz Fernández,Match Report,,2006-2007,2006-2007,2006-2007
86,2007-05-06,,La Liga,Matchweek 33,Sun,Home,W,3,2,Sevilla,,,,,Pérez Burrull,Match Report,,2006-2007,2006-2007,2006-2007
87,2007-05-12,,La Liga,Matchweek 34,Sat,Home,W,4,3,Espanyol,,,,,Undiano Mallenco,Match Report,,2006-2007,2006-2007,2006-2007
88,2007-05-20,,La Liga,Matchweek 35,Sun,Away,W,3,2,Recreativo,,,,,Mejuto González,Match Report,,2006-2007,2006-2007,2006-2007
89,2007-05-26,,La Liga,Matchweek 36,Sat,Home,W,3,1,La Coruña,,,,,Fernández Borbalán,Match Report,,2006-2007,2006-2007,2006-2007
90,2007-06-09,,La Liga,Matchweek 37,Sat,Away,D,2,2,Zaragoza,,,,,Undiano Mallenco,Match Report,,2006-2007,2006-2007,2006-2007
91,2007-06-17,,La Liga,Matchweek 38,Sun,Home,W,3,1,Mallorca,,,,,Muñiz Fernández,Match Report,,2006-2007,2006-2007,2006-2007
92,2007-08-25,,La Liga,Matchweek 1,Sat,Home,W,2,1,Atlético Madrid,,,,,Mejuto González,Match Report,,2007-2008,2007-2008,2007-2008
93,2007-09-02,,La Liga,Matchweek 2,Sun,Away,W,5,0,Villarreal,,,,,Medina Cantalejo,Match Report,,2007-2008,2007-2008,2007-2008
94,2007-09-15,,La Liga,Matchweek 3,Sat,Home,W,3,1,Almería,,,,,Álvarez Izquierdo,Match Report,,2007-2008,2007-2008,2007-2008
95,2007-09-18,,Champions Lg,Group stage,Tue,Home,W,2,1,de Werder Bremen,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008
96,2007-09-23,,La Liga,Matchweek 4,Sun,Away,D,1,1,Valladolid,,,,,Iturralde González,Match Report,,2007-2008,2007-2008,2007-2008
97,2007-09-27,,La Liga,Matchweek 5,Thu,Home,W,2,0,Betis,,,,,Pérez Lasa,Match Report,,2007-2008,2007-2008,2007-2008
98,2007-09-30,,La Liga,Matchweek 6,Sun,Away,W,1,0,Getafe,,,,,Undiano Mallenco,Match Report,,2007-2008,2007-2008,2007-2008
99,2007-10-03,,Champions Lg,Group stage,Wed,Away,D,2,2,it Lazio,,,,,Frank de Bleeckere,Match Report,,2007-2008,2007-2008,2007-2008
100,2007-10-07,,La Liga,Matchweek 7,Sun,Home,W,2,0,Recreativo,,,,,Daudén Ibáñez,Match Report,,2007-2008,2007-2008,2007-2008
101,2007-10-20,,La Liga,Matchweek 8,Sat,Away,L,1,2,Espanyol,,,,,Teixeira Vitienes,Match Report,,2007-2008,2007-2008,2007-2008
102,2007-10-24,,Champions Lg,Group stage,Wed,Home,W,4,2,gr Olympiacos,,,,,Tom Henning Øvrebø,Match Report,,2007-2008,2007-2008,2007-2008
103,2007-10-28,,La Liga,Matchweek 9,Sun,Home,W,3,1,La Coruña,,,,,Clos Gómez,Match Report,,2007-2008,2007-2008,2007-2008
104,2007-10-31,,La Liga,Matchweek 10,Wed,Away,W,5,1,Valencia,,,,,Pérez Burrull,Match Report,,2007-2008,2007-2008,2007-2008
105,2007-11-03,,La Liga,Matchweek 11,Sat,Away,L,0,2,Sevilla,,,,,Álvarez Izquierdo,Match Report,,2007-2008,2007-2008,2007-2008
106,2007-11-06,,Champions Lg,Group stage,Tue,Away,D,0,0,gr Olympiacos,,,,,Ľuboš Michel,Match Report,,2007-2008,2007-2008,2007-2008
