,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
37,2001-03-18,,Premier League,Matchweek 30,Sun,Home,D,1,1,Derby County,,43362,,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001,
38,2001-03-31,,Premier League,Matchweek 31,Sat,Home,W,2,0,Manchester Utd,,44806,,,Graham Poll,Match Report,,2000-2001,2000-2001,2000-2001,
39,2001-04-05,,UEFA Cup,Semi-finals,Thu,Away,D,0,0,es Barcelona,,,,,Hellmut Krug,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
40,2001-04-10,,Premier League,Matchweek 32,Tue,Away,D,1,1,Ipswich Town,,23504,,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001,
41,2001-04-13,,Premier League,Matchweek 33,Fri,Home,L,1,2,Leeds United,,44116,,,Alan Wiley,Match Report,,2000-2001,2000-2001,2000-2001,
42,2001-04-16,,Premier League,Matchweek 34,Mon,Away,W,3,2,Everton,,40260,,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001,
43,2001-04-19,,UEFA Cup,Semi-finals,Thu,Home,W,1,0,es Barcelona,,,,,Urs Meier,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
44,2001-04-22,,Premier League,Matchweek 35,Sun,Home,W,3,1,Tottenham,,43547,,,Barry Knight,Match Report,,2000-2001,2000-2001,2000-2001,
45,2001-04-28,,Premier League,Matchweek 36,Sat,Away,W,2,0,Coventry City,,23063,,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001,
46,2001-05-01,,Premier League,Matchweek 21,Tue,Away,W,2,0,Bradford City,,22057,,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001,
47,2001-05-05,,Premier League,Matchweek 37,Sat,Home,W,3,0,Newcastle Utd,,44363,,,Mark Halsey,Match Report,,2000-2001,2000-2001,2000-2001,
48,2001-05-08,,Premier League,Matchweek 28,Tue,Home,D,2,2,Chelsea,,43588,,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001,
49,2001-05-16,,UEFA Cup,Final,Wed,Neutral,W,5,4,es Alavés,,,,,Gilles Veissière,Match Report,Required Extra Time,2000-2001,2000-2001,2000-2001,
50,2001-05-19,,Premier League,Matchweek 38,Sat,Away,W,4,0,Charlton Ath,,20043,,,Graham Barber,Match Report,,2000-2001,2000-2001,2000-2001,
51,2001-08-08,,Champions Lg,Third qualifying round,Wed,Away,W,5,0,fi Haka,,,,,Daudén Ibáñez,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,
52,2001-08-18,,Premier League,Matchweek 1,Sat,Home,W,2,1,West Ham,,43935,,,Jeff Winter,Match Report,,2001-2002,2001-2002,2001-2002,
53,2001-08-21,,Champions Lg,Third qualifying round,Tue,Home,W,4,1,fi Haka,,,,,Terje Hauge,Match Report,Leg 2 of 2, Liverpool won,2001-2002,2001-2002,2001-2002
54,2001-08-27,,Premier League,Matchweek 3,Mon,Away,L,1,2,Bolton,,27205,,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002,
55,2001-09-08,,Premier League,Matchweek 4,Sat,Home,L,1,3,Aston Villa,,44102,,,Andy D'Urso,Match Report,,2001-2002,2001-2002,2001-2002,
56,2001-09-11,,Champions Lg,First group stage,Tue,Home,D,1,1,pt Boavista,,,,,Kyros Vassaras,Match Report,,2001-2002,2001-2002,2001-2002,
