,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
165,2003-10-18,,Premier League,Matchweek 9,Sat,Away,L,0,1,Portsmouth,,19126,,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004,
166,2003-10-25,,Premier League,Matchweek 10,Sat,Home,W,3,1,Leeds United,,43599,,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004,
167,2003-11-02,,Premier League,Matchweek 11,Sun,Away,W,2,1,Fulham,,17682,,,Rob Styles,Match Report,,2003-2004,2003-2004,2003-2004,
168,2003-11-06,,UEFA Cup,Second round,Thu,Away,D,1,1,ro Steaua,,,,,Stefano Farina,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004,
169,2003-11-09,,Premier League,Matchweek 12,Sun,Home,L,1,2,Manchester Utd,,44159,,,Graham Poll,Match Report,,2003-2004,2003-2004,2003-2004,
170,2003-11-22,,Premier League,Matchweek 13,Sat,Away,D,0,0,Middlesbrough,,34268,,,Phil Dowd,Match Report,,2003-2004,2003-2004,2003-2004,
171,2003-11-27,,UEFA Cup,Second round,Thu,Home,W,1,0,ro Steaua,,,,,Florian Meyer,Match Report,Leg 2 of 2, Liverpool won,2003-2004,2003-2004,2003-2004
172,2003-11-30,,Premier League,Matchweek 14,Sun,Home,W,3,1,Birmingham City,,42683,,,Neale Barry,Match Report,,2003-2004,2003-2004,2003-2004,
173,2003-12-06,,Premier League,Matchweek 15,Sat,Away,D,1,1,Newcastle Utd,,52151,,,Graham Poll,Match Report,,2003-2004,2003-2004,2003-2004,
174,2003-12-13,,Premier League,Matchweek 16,Sat,Home,L,1,2,Southampton,,41762,,,Paul Durkin,Match Report,,2003-2004,2003-2004,2003-2004,
175,2003-12-26,,Premier League,Matchweek 18,Fri,Home,W,3,1,Bolton,,42987,,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004,
176,2003-12-28,,Premier League,Matchweek 19,Sun,Away,D,2,2,Manchester City,,47201,,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004,
177,2004-01-07,,Premier League,Matchweek 20,Wed,Away,W,1,0,Chelsea,,41533,,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004,
178,2004-01-10,,Premier League,Matchweek 21,Sat,Home,W,1,0,Aston Villa,,43771,,,Graham Barber,Match Report,,2003-2004,2003-2004,2003-2004,
179,2004-01-17,,Premier League,Matchweek 22,Sat,Away,L,1,2,Tottenham,,36104,,,Uriah Rennie,Match Report,,2003-2004,2003-2004,2003-2004,
180,2004-01-21,,Premier League,Matchweek 17,Wed,Away,D,1,1,Wolves,,29380,,,Barry Knight,Match Report,,2003-2004,2003-2004,2003-2004,
181,2004-01-31,,Premier League,Matchweek 23,Sat,Home,D,0,0,Everton,,44056,,,Stephen Bennett,Match Report,,2003-2004,2003-2004,2003-2004,
182,2004-02-07,,Premier League,Matchweek 24,Sat,Away,D,2,2,Bolton,,27552,,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004,
183,2004-02-11,,Premier League,Matchweek 25,Wed,Home,W,2,1,Manchester City,,43257,,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004,
184,2004-02-26,,UEFA Cup,Third round,Thu,Home,W,2,0,bg Levski Sofia,,,,,René Temmink,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004,
185,2004-02-29,,Premier League,Matchweek 27,Sun,Away,D,2,2,Leeds United,,39932,,,Paul Durkin,Match Report,,2003-2004,2003-2004,2003-2004,
186,2004-03-03,,UEFA Cup,Third round,Wed,Away,W,4,2,bg Levski Sofia,,,,,Peter Fröjdfeldt,Match Report,Leg 2 of 2, Liverpool won,2003-2004,2003-2004,2003-2004
187,2004-03-11,,UEFA Cup,Fourth round,Thu,Home,D,1,1,fr Marseille,,,,,Iouri Baskakov,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004,
188,2004-03-14,,Premier League,Matchweek 28,Sun,Away,L,0,2,Southampton,,32056,,,Dermot Gallagher,Match Report,,2003-2004,2003-2004,2003-2004,
189,2004-03-17,,Premier League,Matchweek 26,Wed,Home,W,3,0,Portsmouth,,34663,,,Barry Knight,Match Report,,2003-2004,2003-2004,2003-2004,
190,2004-03-20,,Premier League,Matchweek 29,Sat,Home,W,1,0,Wolves,,43795,,,Rob Styles,Match Report,,2003-2004,2003-2004,2003-2004,
191,2004-03-25,,UEFA Cup,Fourth round,Thu,Away,L,1,2,fr Marseille,,,,,Daudén Ibáñez,Match Report,Leg 2 of 2, Marseille won,2003-2004,2003-2004,2003-2004
192,2004-03-28,,Premier League,Matchweek 30,Sun,Away,D,0,0,Leicester City,,32013,,,Phil Dowd,Match Report,,2003-2004,2003-2004,2003-2004,
193,2004-04-04,,Premier League,Matchweek 31,Sun,Home,W,4,0,Blackburn,,41559,,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004,
194,2004-04-09,,Premier League,Matchweek 32,Fri,Away,L,2,4,Arsenal,,38119,,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004,
195,2004-04-12,,Premier League,Matchweek 33,Mon,Home,L,0,1,Charlton Ath,,40003,,,Phil Dowd,Match Report,,2003-2004,2003-2004,2003-2004,
196,2004-04-17,,Premier League,Matchweek 34,Sat,Home,D,0,0,Fulham,,42042,,,Stephen Bennett,Match Report,,2003-2004,2003-2004,2003-2004,
197,2004-04-24,,Premier League,Matchweek 35,Sat,Away,W,1,0,Manchester Utd,,67647,,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004,
198,2004-05-02,,Premier League,Matchweek 36,Sun,Home,W,2,0,Middlesbrough,,42031,,,Andy D'Urso,Match Report,,2003-2004,2003-2004,2003-2004,
199,2004-05-08,,Premier League,Matchweek 37,Sat,Away,W,3,0,Birmingham City,,29553,,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004,
200,2004-05-15,,Premier League,Matchweek 38,Sat,Home,D,1,1,Newcastle Utd,,44172,,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004,
201,2004-08-10,,Champions Lg,Third qualifying round,Tue,Away,W,2,0,at Grazer AK,,,,,Alain Sars,Match Report,Leg 1 of 2,2004-2005,2004-2005,2004-2005,
202,2004-08-14,,Premier League,Matchweek 1,Sat,Away,D,1,1,Tottenham,,36104,,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005,
203,2004-08-21,,Premier League,Matchweek 2,Sat,Home,W,2,1,Manchester City,,42042,,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005,
204,2004-08-24,,Champions Lg,Third qualifying round,Tue,Home,L,0,1,at Grazer AK,,,,,Medina Cantalejo,Match Report,Leg 2 of 2, Liverpool won,2004-2005,2004-2005,2004-2005
205,2004-08-29,,Premier League,Matchweek 4,Sun,Away,L,0,1,Bolton,,26880,,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005,
206,2004-09-11,,Premier League,Matchweek 5,Sat,Home,W,3,0,West Brom,,42947,,,Steve Dunn,Match Report,,2004-2005,2004-2005,2004-2005,
207,2004-09-15,,Champions Lg,Group stage,Wed,Home,W,2,0,fr Monaco,,,,,Terje Hauge,Match Report,,2004-2005,2004-2005,2004-2005,
208,2004-09-20,,Premier League,Matchweek 6,Mon,Away,L,1,2,Manchester Utd,,67857,,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005,
209,2004-09-25,,Premier League,Matchweek 7,Sat,Home,W,3,0,Norwich City,,43152,,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005,
210,2004-09-28,,Champions Lg,Group stage,Tue,Away,L,0,1,gr Olympiacos,,,,,Pierluigi Collina,Match Report,,2004-2005,2004-2005,2004-2005,
211,2004-10-03,,Premier League,Matchweek 8,Sun,Away,L,0,1,Chelsea,,42028,,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005,
212,2004-10-16,,Premier League,Matchweek 9,Sat,Away,W,4,2,Fulham,,21884,,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005,
213,2004-10-19,,Champions Lg,Group stage,Tue,Home,D,0,0,es La Coruña,,,,,Anders Frisk,Match Report,,2004-2005,2004-2005,2004-2005,
214,2004-10-23,,Premier League,Matchweek 10,Sat,Home,W,2,0,Charlton Ath,,41625,,,Andy D'Urso,Match Report,,2004-2005,2004-2005,2004-2005,
215,2004-10-30,,Premier League,Matchweek 11,Sat,Away,D,2,2,Blackburn,,26314,,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005,
216,2004-11-03,,Champions Lg,Group stage,Wed,Away,W,1,0,es La Coruña,,,,,Wolfgang Stark,Match Report,,2004-2005,2004-2005,2004-2005,
217,2004-11-06,,Premier League,Matchweek 12,Sat,Home,L,0,1,Birmingham City,,42669,,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005,
218,2004-11-13,,Premier League,Matchweek 13,Sat,Home,W,3,2,Crystal Palace,,42862,,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005,
219,2004-11-20,,Premier League,Matchweek 14,Sat,Away,L,0,2,Middlesbrough,,34751,,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005,
220,2004-11-23,,Champions Lg,Group stage,Tue,Away,L,0,1,fr Monaco,,,,,Claus Bo Larsen,Match Report,,2004-2005,2004-2005,2004-2005,
221,2004-11-28,,Premier League,Matchweek 15,Sun,Home,W,2,1,Arsenal,,43730,,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005,
222,2004-12-04,,Premier League,Matchweek 16,Sat,Away,D,1,1,Aston Villa,,42593,,,Mark Halsey,Match Report,,2004-2005,2004-2005,2004-2005,
223,2004-12-08,,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,,,,,Mejuto González,Match Report,,2004-2005,2004-2005,2004-2005,
224,2004-12-11,,Premier League,Matchweek 17,Sat,Away,L,0,1,Everton,,40552,,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005,
225,2004-12-14,,Premier League,Matchweek 3,Tue,Home,D,1,1,Portsmouth,,35064,,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005,
226,2004-12-19,,Premier League,Matchweek 18,Sun,Home,W,3,1,Newcastle Utd,,43856,,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005,
227,2004-12-26,,Premier League,Matchweek 19,Sun,Away,W,5,0,West Brom,,27533,,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005,
228,2004-12-28,,Premier League,Matchweek 20,Tue,Home,W,1,0,Southampton,,42382,,,Mark Halsey,Match Report,,2004-2005,2004-2005,2004-2005,
229,2005-01-01,,Premier League,Matchweek 21,Sat,Home,L,0,1,Chelsea,,43976,,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005,
230,2005-01-03,,Premier League,Matchweek 22,Mon,Away,W,2,1,Norwich City,,24503,,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005,
231,2005-01-15,,Premier League,Matchweek 23,Sat,Home,L,0,1,Manchester Utd,,44183,,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005,
232,2005-01-22,,Premier League,Matchweek 24,Sat,Away,L,0,2,Southampton,,32017,,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005,
233,2005-02-01,,Premier League,Matchweek 25,Tue,Away,W,2,1,Charlton Ath,,27102,,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005,
234,2005-02-05,,Premier League,Matchweek 26,Sat,Home,W,3,1,Fulham,,43534,,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005,
235,2005-02-12,,Premier League,Matchweek 27,Sat,Away,L,0,2,Birmingham City,,29318,,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005,
236,2005-02-22,,Champions Lg,Round of 16,Tue,Home,W,3,1,de Leverkusen,,,,,Kyros Vassaras,Match Report,Leg 1 of 2,2004-2005,2004-2005,2004-2005,
237,2005-03-05,,Premier League,Matchweek 29,Sat,Away,L,0,1,Newcastle Utd,,52323,,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005,
238,2005-03-09,,Champions Lg,Round of 16,Wed,Away,W,3,1,de Leverkusen,,,,,Alain Sars,Match Report,Leg 2 of 2, Liverpool won,2004-2005,2004-2005,2004-2005
239,2005-03-16,,Premier League,Matchweek 28,Wed,Home,D,0,0,Blackburn,,37763,,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005,
240,2005-03-20,,Premier League,Matchweek 30,Sun,Home,W,2,1,Everton,,44224,,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005,
241,2005-04-02,,Premier League,Matchweek 31,Sat,Home,W,1,0,Bolton,,43755,,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005,
242,2005-04-05,,Champions Lg,Quarter-finals,Tue,Home,W,2,1,it Juventus,,,,,Frank de Bleeckere,Match Report,Leg 1 of 2,2004-2005,2004-2005,2004-2005,
243,2005-04-09,,Premier League,Matchweek 32,Sat,Away,L,0,1,Manchester City,,47203,,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005,
244,2005-04-13,,Champions Lg,Quarter-finals,Wed,Away,D,0,0,it Juventus,,,,,Valentin Ivanov,Match Report,Leg 2 of 2, Liverpool won,2004-2005,2004-2005,2004-2005
245,2005-04-16,,Premier League,Matchweek 33,Sat,Home,D,2,2,Tottenham,,44029,,,Mark Halsey,Match Report,,2004-2005,2004-2005,2004-2005,
246,2005-04-20,,Premier League,Matchweek 34,Wed,Away,W,2,1,Portsmouth,,20205,,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005,
247,2005-04-23,,Premier League,Matchweek 35,Sat,Away,L,0,1,Crystal Palace,,26043,,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005,
248,2005-04-27,,Champions Lg,Semi-finals,Wed,Away,D,0,0,eng Chelsea,,,,,Alain Sars,Match Report,Leg 1 of 2,2004-2005,2004-2005,2004-2005,
249,2005-04-30,,Premier League,Matchweek 36,Sat,Home,D,1,1,Middlesbrough,,43250,,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005,
250,2005-05-03,,Champions Lg,Semi-finals,Tue,Home,W,1,0,eng Chelsea,,,,,Ľuboš Michel,Match Report,Leg 2 of 2, Liverpool won,2004-2005,2004-2005,2004-2005
251,2005-05-08,,Premier League,Matchweek 37,Sun,Away,L,1,3,Arsenal,,38119,,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005,
252,2005-05-15,,Premier League,Matchweek 38,Sun,Home,W,2,1,Aston Villa,,43406,,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005,
253,2005-05-25,,Champions Lg,Final,Wed,Neutral,D,3,3,it Milan,,,,,Mejuto González,Match Report,Liverpool won on penalty kicks following extra time,2004-2005,2004-2005,2004-2005,
