,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
38,2001-08-18,,Premier League,Matchweek 1,Sat,Away,L,1,2,Liverpool,,"43,935",,,Jeff Winter,Match Report,,2001-2002,2001-2002,2001-2002
39,2001-08-25,,Premier League,Matchweek 3,Sat,Home,D,0,0,Leeds United,,"24,517",,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002
40,2001-09-08,,Premier League,Matchweek 4,Sat,Away,D,0,0,Derby County,,"27,802",,,Clive Wilkes,Match Report,,2001-2002,2001-2002,2001-2002
41,2001-09-15,,Premier League,Matchweek 5,Sat,Away,L,0,2,Middlesbrough,,"25,445",,,Mike Riley,Match Report,,2001-2002,2001-2002,2001-2002
42,2001-09-23,,Premier League,Matchweek 7,Sun,Home,W,3,0,Newcastle Utd,,"28,840",,,Peter Jones,Match Report,,2001-2002,2001-2002,2001-2002
43,2001-09-29,,Premier League,Matchweek 8,Sat,Away,L,0,5,Everton,,"32,049",,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002
44,2001-10-14,,Premier League,Matchweek 9,Sun,Away,L,1,7,Blackburn,,"22,712",,,Andy D'Urso,Match Report,,2001-2002,2001-2002,2001-2002
45,2001-10-20,,Premier League,Matchweek 10,Sat,Home,W,2,0,Southampton,,"25,842",,,Neale Barry,Match Report,,2001-2002,2001-2002,2001-2002
46,2001-10-24,,Premier League,Matchweek 2,Wed,Home,W,2,1,Chelsea,,"26,520",,,Dermot Gallagher,Match Report,,2001-2002,2001-2002,2001-2002
47,2001-10-28,,Premier League,Matchweek 11,Sun,Away,W,3,2,Ipswich Town,,"22,834",,,Steve Dunn,Match Report,,2001-2002,2001-2002,2001-2002
48,2001-11-03,,Premier League,Matchweek 12,Sat,Home,L,0,2,Fulham,,"26,217",,,Graham Barber,Match Report,,2001-2002,2001-2002,2001-2002
49,2001-11-19,,Premier League,Matchweek 13,Mon,Away,D,4,4,Charlton Ath,,"23,198",,,Alan Wiley,Match Report,,2001-2002,2001-2002,2001-2002
50,2001-11-24,,Premier League,Matchweek 14,Sat,Home,L,0,1,Tottenham,,"32,780",,,David Elleray,Match Report,,2001-2002,2001-2002,2001-2002
51,2001-12-01,,Premier League,Matchweek 15,Sat,Away,L,0,1,Sunderland,,"47,437",,,Peter Jones,Match Report,,2001-2002,2001-2002,2001-2002
52,2001-12-05,,Premier League,Matchweek 6,Wed,Home,D,1,1,Aston Villa,,"28,377",,,Mike Dean,Match Report,,2001-2002,2001-2002,2001-2002
53,2001-12-08,,Premier League,Matchweek 16,Sat,Away,W,1,0,Manchester Utd,,"67,582",,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002
54,2001-12-15,,Premier League,Matchweek 17,Sat,Home,D,1,1,Arsenal,,"34,523",,,Mike Riley,Match Report,,2001-2002,2001-2002,2001-2002
55,2001-12-22,,Premier League,Matchweek 18,Sat,Away,D,1,1,Leicester City,,"20,131",,,Eddie Wolstenholme,Match Report,,2001-2002,2001-2002,2001-2002
56,2001-12-26,,Premier League,Matchweek 19,Wed,Home,W,4,0,Derby County,,"31,379",,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002
57,2001-12-29,,Premier League,Matchweek 20,Sat,Home,D,1,1,Liverpool,,"35,103",,,Rob Styles,Match Report,,2001-2002,2001-2002,2001-2002
58,2002-01-01,,Premier League,Matchweek 21,Tue,Away,L,0,3,Leeds United,,"39,320",,,Steve Dunn,Match Report,,2001-2002,2001-2002,2001-2002
59,2002-01-12,,Premier League,Matchweek 22,Sat,Home,W,1,0,Leicester City,,"34,698",,,Dermot Gallagher,Match Report,,2001-2002,2001-2002,2001-2002
60,2002-01-20,,Premier League,Matchweek 23,Sun,Away,L,1,5,Chelsea,,"40,035",,,Andy D'Urso,Match Report,,2001-2002,2001-2002,2001-2002
61,2002-01-30,,Premier League,Matchweek 24,Wed,Away,L,0,2,Southampton,,"31,879",,,Phil Dowd,Match Report,,2001-2002,2001-2002,2001-2002
62,2002-02-02,,Premier League,Matchweek 25,Sat,Home,W,2,0,Blackburn,,"35,307",,,Peter Jones,Match Report,,2001-2002,2001-2002,2001-2002
63,2002-02-09,,Premier League,Matchweek 26,Sat,Away,L,0,1,Bolton,,"24,342",,,David Pugh,Match Report,,2001-2002,2001-2002,2001-2002
64,2002-02-23,,Premier League,Matchweek 27,Sat,Home,W,1,0,Middlesbrough,,"35,420",,,Chris Foy,Match Report,,2001-2002,2001-2002,2001-2002
65,2002-03-02,,Premier League,Matchweek 28,Sat,Away,L,1,2,Aston Villa,,"37,341",,,Graham Barber,Match Report,,2001-2002,2001-2002,2001-2002
66,2002-03-06,,Premier League,Matchweek 29,Wed,Home,W,1,0,Everton,,"29,883",,,Barry Knight,Match Report,,2001-2002,2001-2002,2001-2002
67,2002-03-16,,Premier League,Matchweek 30,Sat,Home,L,3,5,Manchester Utd,,"35,281",,,Mark Halsey,Match Report,,2001-2002,2001-2002,2001-2002
68,2002-03-30,,Premier League,Matchweek 32,Sat,Home,W,3,1,Ipswich Town,,"33,871",,,Alan Wiley,Match Report,,2001-2002,2001-2002,2001-2002
69,2002-04-01,,Premier League,Matchweek 33,Mon,Away,W,1,0,Fulham,,"19,416",,,Mark Halsey,Match Report,,2001-2002,2001-2002,2001-2002
70,2002-04-06,,Premier League,Matchweek 34,Sat,Home,W,2,0,Charlton Ath,,"32,389",,,Mike Riley,Match Report,,2001-2002,2001-2002,2001-2002
71,2002-04-13,,Premier League,Matchweek 35,Sat,Away,D,1,1,Tottenham,,"36,083",,,Neale Barry,Match Report,,2001-2002,2001-2002,2001-2002
