,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
38,2006-03-25,,Premier League,Matchweek 31,Sat,Home,W,2,0,Manchester City,,42254,,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006,,
39,2006-04-01,,Premier League,Matchweek 32,Sat,Away,D,0,0,Birmingham City,,26364,,,Dermot Gallagher,Match Report,,2005-2006,2005-2006,2005-2006,,
40,2006-04-09,,Premier League,Matchweek 33,Sun,Home,W,4,1,West Ham,,41823,,,Chris Foy,Match Report,,2005-2006,2005-2006,2005-2006,,
41,2006-04-15,,Premier League,Matchweek 34,Sat,Away,W,2,0,Bolton,,27266,,,Phil Dowd,Match Report,,2005-2006,2005-2006,2005-2006,,
42,2006-04-17,,Premier League,Matchweek 35,Mon,Home,W,3,0,Everton,,41667,,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006,,
43,2006-04-29,,Premier League,Matchweek 37,Sat,Home,W,3,0,Manchester Utd,,42182,,,Mike Dean,Match Report,,2005-2006,2005-2006,2005-2006,,
44,2006-05-02,,Premier League,Matchweek 36,Tue,Away,L,0,1,Blackburn,,20243,,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006,,
45,2006-05-07,,Premier League,Matchweek 38,Sun,Away,L,0,1,Newcastle Utd,,52309,,,Mike Riley,Match Report,,2005-2006,2005-2006,2005-2006,,
46,2006-08-20,,Premier League,Matchweek 1,Sun,Home,W,3,0,Manchester City,,41814,,,Stephen Bennett,Match Report,,2006-2007,2006-2007,2006-2007,,
47,2006-08-23,,Premier League,Matchweek 2,Wed,Away,L,1,2,Middlesbrough,,29269,,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007,,
48,2006-08-27,,Premier League,Matchweek 3,Sun,Away,W,2,0,Blackburn,,19398,,,Andre Marriner,Match Report,,2006-2007,2006-2007,2006-2007,,
49,2006-09-09,,Premier League,Matchweek 4,Sat,Home,W,2,1,Charlton Ath,,41194,,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007,,
50,2006-09-12,,Champions Lg,Group stage,Tue,Home,W,2,0,de Werder Bremen,,,,,Kyros Vassaras,Match Report,,2006-2007,2006-2007,2006-2007,,
51,2006-09-17,,Premier League,Matchweek 5,Sun,Home,W,1,0,Liverpool,,41882,,,Mike Riley,Match Report,,2006-2007,2006-2007,2006-2007,,
52,2006-09-23,,Premier League,Matchweek 6,Sat,Away,W,2,0,Fulham,,24290,,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007,,
53,2006-09-27,,Champions Lg,Group stage,Wed,Away,W,3,1,bg Levski Sofia,,,,,Laurent Duhamel,Match Report,,2006-2007,2006-2007,2006-2007,,
54,2006-09-30,,Premier League,Matchweek 7,Sat,Home,D,1,1,Aston Villa,,41949,,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007,,
55,2006-10-14,,Premier League,Matchweek 8,Sat,Away,W,1,0,Reading,,24026,,,Mike Riley,Match Report,,2006-2007,2006-2007,2006-2007,,
56,2006-10-18,,Champions Lg,Group stage,Wed,Home,W,1,0,es Barcelona,,,,,Frank de Bleeckere,Match Report,,2006-2007,2006-2007,2006-2007,,
57,2006-10-21,,Premier League,Matchweek 9,Sat,Home,W,2,1,Portsmouth,,41891,,,Mark Clattenburg,Match Report,,2006-2007,2006-2007,2006-2007,,
58,2006-10-28,,Premier League,Matchweek 10,Sat,Away,W,2,0,Sheffield Utd,,32321,,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007,,
59,2006-10-31,,Champions Lg,Group stage,Tue,Away,D,2,2,es Barcelona,,,,,Stefano Farina,Match Report,,2006-2007,2006-2007,2006-2007,,
60,2006-11-05,,Premier League,Matchweek 11,Sun,Away,L,1,2,Tottenham,,36070,,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007,,
61,2006-11-11,,Premier League,Matchweek 12,Sat,Home,W,4,0,Watford,,41935,,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007,,
62,2006-11-18,,Premier League,Matchweek 13,Sat,Home,W,1,0,West Ham,,41948,,,Mike Dean,Match Report,,2006-2007,2006-2007,2006-2007,,
63,2006-11-22,,Champions Lg,Group stage,Wed,Away,L,0,1,de Werder Bremen,,,,,Ľuboš Michel,Match Report,,2006-2007,2006-2007,2006-2007,,
64,2006-11-26,,Premier League,Matchweek 14,Sun,Away,D,1,1,Manchester Utd,,75948,,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007,,
65,2006-11-29,,Premier League,Matchweek 15,Wed,Away,W,1,0,Bolton,,23381,,,Stephen Bennett,Match Report,,2006-2007,2006-2007,2006-2007,,
66,2006-12-05,,Champions Lg,Group stage,Tue,Home,W,2,0,bg Levski Sofia,,,,,Alain Hamer,Match Report,,2006-2007,2006-2007,2006-2007,,
67,2006-12-10,,Premier League,Matchweek 17,Sun,Home,D,1,1,Arsenal,,41945,,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007,,
